claim_number,email,phone_number,claim_date,cost
Q159601,MiJ1@gmail.com,(513) 331-9266,2018-06-05,456901
P315664,RobertoJ6@gmail.com,(442) 820-0474,2018-03-04,815279
T431092,KevinE0@gmail.com,(384) 145-9023,2018-06-21,372400
X200239,CynthiaD1@gmail.com,(538) 759-1485,2018-09-12,59121
W177094,RobertS3,(353) 923-4657,2018-02-04,0
Q8168,LouiseS8@gmail.com,(456) 495-2441,2018-10-26,5458
W201227,JordanR8@gmail.com,(407) 277-0935,2018-08-26,0
N351659,VincentJ8@gmail.com,(317) 243-6708,2018-03-05,724620
D356634,DeborahG2@gmail.com,(553) 113-1924,2018-08-29,144323
J86065,BlancaF3@gmail.com,(107) 320-6925,2018-07-05,0
O470233,ChristopherR0@gmail.com,(577) 315-1179,2018-04-16,964959
Y184327,RoslynA9@gmail.com,(189) 980-3698,2018-01-05,0
F352244,RonaldL6@gmail.com,+1 +1 (518) 230-9492,2018-08-27,973118
J406375,LavernK0@gmail.com,(484) 090-5673,2018-07-04,990776
Z282324,FlorenceR5@gmail.com,(155) 279-4458,2018-10-29,0
W223479,KenA9@gmail.com,(243) 158-2576,2018-11-26,154425
H448079,RobertW5@gmail.com,(209) 630-2928,2018-08-23,0
K250671,MyongJ2@gmail.com,(563) 380-9160,2018-04-16,26772
A491361,AllysonM1,(486) 261-1509,2018-10-18,451287
L340008,LeroyT6@gmail.com,(419) 569-5341,2018-01-03,52442
G39732,LiliaR6@gmail.com,(872) 408-7581,2018-09-12,190905
J378724,MyrnaG2@gmail.com,(117) 273-5856,2018-12-14,0
V451805,KellyJ7@gmail.com,+1 (185) 685-3011,2018-07-14,178396
Q381924,ScottH6@gmail.com,(647) 936-9979,2018-03-22,882629
V30215,ShellyB2@gmail.com,(835) 775-5768,2018-04-01,191335
P120010,FreddyM0@gmail.com,(212) 036-7596,2018-03-29,740704
D178083,TonyJ1@gmail.com,(919) 856-5411,2018-08-29,93300
Z350695,DonA6,(465) 900-6022,2018-10-18,0
B383138,JoannA1@gmail.com,(706) 481-1635,2018-01-02,0
T379264,PeterT1@gmail.com,(886) 373-1778,2018-06-27,415323
R233143,KathrineD6@gmail.com,(302) 330-1785,2018-11-11,18261
Z68521,MicheleR6@gmail.com,(868) 140-1692,2018-08-01,58747
B421689,CarmonK8@gmail.com,(668) 015-8351,2018-12-23,0
B440937,EarlD7@gmail.com,+1 (953) 003-4672,2018-01-14,800524
Q249459,GuyL7@gmail.com,(367) 290-2816,2018-09-26,466109
U21520,RichardD4@gmail.com,(290) 254-8157,2018-11-15,945735
Y373201,KendallG2@gmail.com,(444) 785-2363,2018-12-12,0
Z170966,ScottJ3@gmail.com,+1 (819) 836-3508,2018-08-01,718738
W496251,JanetL5@gmail.com,(222) 679-7835,2018-08-01,261582
O373632,MurrayC4@gmail.com,(389) 886-8928,2018-11-16,0
U293767,LillianC3@gmail.com,(200) 940-0092,2018-07-28,300507
Z309900,JanetA8@gmail.com,(968) 293-2195,2018-04-06,674488
M5116,RobertT5@gmail.com,(122) 250-7994,2018-08-22,0
L347257,GeorgeK7@gmail.com,(770) 191-7958,2018-06-04,173695
O140213,RobertJ7@gmail.com,(405) 180-9753,2018-05-03,158584
Y136167,ShannonM7@gmail.com,(804) 029-6382,2018-01-31,0
B311465,WillD4@gmail.com,(152) 393-8176,2018-12-25,0
G277006,JeanS8@gmail.com,(840) 129-9195,2018-06-17,404926
U83143,JamesW8@gmail.com,(131) 798-1155,2018-03-18,601723
G406898,JoseK8@gmail.com,(960) 377-9085,2018-02-28,488453
P34027,JoyceG7@gmail.com,(855) 040-2925,2018-01-17,6795
D323717,RickyM6@gmail.com,(813) 319-0649,2018-11-02,400301
G118807,WilmaV8@gmail.com,(386) 818-5955,2018-01-04,0
W408681,GordonN8@gmail.com,(874) 077-3903,2018-06-21,483058
W383350,MarkR2@gmail.com,(718) 727-7347,2018-05-09,52027
M220629,DonnaE2@gmail.com,+1 +1 (886) 680-6222,2018-05-09,0
N111676,LouellaM2@gmail.com,(589) 454-7676,2018-12-17,0
H342665,LindsayW6@gmail.com,(112) 644-2741,2018-07-12,591195
S418466,JaneM8@gmail.com,(484) 887-7823,2018-05-13,597905
L76073,NancyL1@gmail.com,(365) 677-8951,2018-12-27,947820
Z105337,JacquelineB5@gmail.com,(938) 016-9954,2018-12-13,515824
T474574,RenaJ3@gmail.com,(939) 090-0692,2018-10-27,0
W121234,DawnA8@gmail.com,(558) 741-9489,2018-08-08,894386
S384257,StaceyM1@gmail.com,(297) 312-7338,2018-02-07,649907
E277383,EmmaM3@gmail.com,(516) 122-4274,2018-07-30,498210
B276461,DannyJ6@gmail.com,(110) 732-8431,2018-04-08,710080
G143403,HarveyV5@gmail.com,(743) 333-3682,2018-07-13,388713
D102099,HaroldN3@gmail.com,(524) 660-0257,2018-10-16,0
G57635,HaroldT1@gmail.com,(494) 122-6879,2018-04-16,0
E395238,PennyC1@gmail.com,(281) 157-9646,2018-04-14,0
P478836,GordonS8@gmail.com,(615) 093-8708,2018-07-01,0
F414066,DominqueA6@gmail.com,(234) 693-3039,2018-04-13,89791
U457937,RogerL4@gmail.com,(731) 982-6426,2018-08-02,172377
X38196,SarahT5,(179) 951-0390,2018-07-06,364635
R199053,CalvinA2@gmail.com,(121) 317-3226,2018-03-10,198129
L328772,PrincessJ2@gmail.com,(470) 441-0821,2018-07-22,485390
H240128,HowardM9@gmail.com,(399) 777-6838,2018-01-05,923183
W52834,ValeriaR7@gmail.com,(547) 780-5548,2018-05-14,257574
O250591,FidelR6@gmail.com,+1 (237) 785-4025,2018-09-16,652092
D241970,JohnL4@gmail.com,(426) 940-4424,2018-07-04,0
C483870,RaymondV6@gmail.com,(232) 071-2929,2018-01-16,446835
R106677,TerrieK1@gmail.com,(102) 455-4907,2018-06-04,655374
V360874,GaryR1@gmail.com,(336) 982-7463,2018-07-26,383720
B146241,DarleneH5@gmail.com,(195) 746-5744,2018-12-26,0
R204993,MichaelJ8@gmail.com,(810) 180-6322,2018-01-12,620257
C482608,StephanieA2@gmail.com,(139) 348-0846,2018-02-11,88478
F393277,TanyaA9@gmail.com,+1 (897) 138-1668,2018-11-29,739734
E140104,RonaldS0@gmail.com,(570) 267-7998,2018-01-10,160653
D387856,JesusK9@gmail.com,(693) 651-0344,2018-02-07,475888
P389369,MarvinD3@gmail.com,(835) 208-5739,2018-09-13,109548
N444213,AndrewR2@gmail.com,+1 (844) 505-5922,2018-01-08,422782
P432652,MichelleD0@gmail.com,(928) 431-9537,2018-03-18,102817
B151345,BonnieW4@gmail.com,(911) 695-9071,2018-11-23,0
G394680,LindaJ4@gmail.com,(335) 561-2658,2018-02-18,0
P165893,WilliamJ3@gmail.com,(147) 930-8399,2018-02-15,590543
O199055,WalterJ9@gmail.com,+1 (130) 131-5706,2018-01-09,992518
Q497468,BrandonA2@gmail.com,(577) 858-0258,2018-10-19,999999999999
G173732,CarolP8@gmail.com,(584) 334-6623,2018-08-20,104953
D154623,KellyK9@gmail.com,+1 (499) 102-8900,2018-12-17,591348
O324729,RayE3@gmail.com,(792) 178-0269,2018-07-21,0
X190311,RichardE1@gmail.com,(873) 102-7210,2018-08-08,903361
S108039,JeffreyA8@gmail.com,(618) 592-3933,2018-08-15,889217
K163015,WilliamP9,+1 (759) 763-4825,2018-10-19,667526
K196618,BrittanyJ0@gmail.com,(743) 281-6085,2018-04-24,35367
G260205,MatthewJ5@gmail.com,(152) 325-2606,2018-10-10,19663
U249660,DorothyD8@gmail.com,(405) 085-9269,2018-07-06,585451
C170243,EdwardR6,(352) 102-6927,2018-12-03,0
G83488,MarieD8@gmail.com,(160) 813-7309,2018-11-20,0
T440538,AlR4@gmail.com,(241) 075-2482,2018-09-10,876498
O384694,DonaldR1@gmail.com,(221) 340-1886,2018-09-28,837485
L358442,LisaS7@gmail.com,(971) 063-5702,2018-09-09,156281
W376146,AnthonyB5@gmail.com,(556) 841-3702,2018-12-08,345515
U472976,BettyR9@gmail.com,(656) 310-5607,2018-12-01,929260
O149697,DorothyF3@gmail.com,(727) 765-2555,2018-02-02,900785
U192445,EmmaJ3@gmail.com,(457) 346-4257,2018-01-29,722299
S372211,CarlC5@gmail.com,(802) 003-6209,2018-12-17,0
N473677,AndrewF7@gmail.com,(114) 833-1072,2018-05-11,411584
E370120,KimberlyT6@gmail.com,(796) 699-2541,2018-03-25,999999999999
O356394,TrevorN6@gmail.com,+1 (894) 487-6250,2018-03-11,0
D430587,JulieM0,(317) 284-2618,2018-07-03,379971
G334462,CarolS1@gmail.com,(148) 587-4455,2018-12-25,90708
I122399,BethF3@gmail.com,(736) 963-7830,2018-11-29,0
R441047,JimmyR6@gmail.com,(678) 869-4741,2018-09-08,770349
P18094,JuanJ8,(221) 706-2581,2018-10-27,146605
R64208,TerraD5@gmail.com,(891) 278-5418,2018-12-22,293112
H489909,JaniceJ7@gmail.com,(172) 354-1075,2018-12-20,805117
U22088,JohnS3@gmail.com,+1 (859) 238-2039,2018-02-06,265641
R267874,SamuelK2@gmail.com,(640) 368-7469,2018-11-23,0
Q277799,HaleyL4@gmail.com,(403) 727-7761,2018-08-08,0
I202783,DianeE2@gmail.com,(472) 933-4223,2018-09-29,0
P447193,LydiaS5@gmail.com,(892) 709-6258,2018-05-28,221036
I411914,RobertJ7@gmail.com,(899) 409-1483,2018-03-11,18713
V166059,SarahS6@gmail.com,(351) 142-4313,2018-10-15,417875
G21366,SallyM3@gmail.com,(676) 238-3422,2018-12-05,0
U12980,MelissaJ7,(332) 224-8362,2018-01-31,744035
W211825,DorrisK0@gmail.com,(443) 370-2709,2018-10-18,89291
F440497,TimothyS9@gmail.com,(150) 992-8661,2018-04-20,757920
V174076,LisaS6@gmail.com,(351) 980-2842,2018-02-13,0
P216956,JamesC0@gmail.com,(219) 686-0541,2018-05-29,259201
B246278,TravisM8@gmail.com,+1 (285) 393-8726,2018-08-15,0
K444967,RandyM1@gmail.com,(395) 897-6635,2018-01-23,214578
B371512,JoseJ4@gmail.com,(957) 439-5792,2018-11-04,0
N180917,JamesJ0,(583) 186-1577,2018-03-13,0
P286142,DuaneA3@gmail.com,(913) 313-5655,2018-11-09,863984
G96503,JenniferB4@gmail.com,(982) 921-0347,2018-12-02,298030
W322051,BruceJ3@gmail.com,(506) 542-1242,2018-06-05,709025
M449421,CynthiaW9@gmail.com,(494) 371-4272,2018-10-03,179735
W477272,GregL5@gmail.com,(820) 303-9056,2018-07-31,570325
K76023,AprilW5@gmail.com,(269) 092-0217,2018-02-18,921189
V132386,KariP1@gmail.com,(373) 626-0595,2018-12-15,0
U239982,GeorgeR5@gmail.com,(111) 992-2451,2018-10-26,481356
E376150,RickeyC7@gmail.com,(133) 907-5028,2018-08-27,0
O252532,HelenE5@gmail.com,(464) 714-7250,2018-05-03,512413
S206715,MarthaJ0@gmail.com,(850) 346-5780,2018-11-08,0
L61262,FranciscoR5@gmail.com,(931) 886-9912,2018-01-06,252978
N387983,MarianneJ8@gmail.com,(755) 680-7427,2018-05-25,253282
K11857,BrianA8@gmail.com,(745) 553-6956,2018-06-26,805840
H363844,ColetteA2@gmail.com,(348) 826-3165,2018-10-01,350865
G402764,BrockR9@gmail.com,(826) 836-6639,2018-06-22,923922
P333310,HillaryJ1@gmail.com,+1 (877) 562-6572,2018-05-06,573863
Q264564,KirstenA4@gmail.com,(870) 997-6801,2018-12-22,437795
D451313,SydneyR8@gmail.com,(462) 047-2375,2018-02-17,0
W265,CherylL7@gmail.com,(485) 426-5786,2018-07-18,0
F487747,TheodoreK8,(271) 537-3609,2018-04-13,484825
Q336734,AngelinaJ1@gmail.com,(814) 867-0875,2018-08-17,0
Y298940,DaleV6@gmail.com,(906) 493-6930,2018-06-20,0
L153134,PaulE0@gmail.com,(937) 659-2882,2018-05-30,697567
J7415,PatriciaD5@gmail.com,(493) 565-5237,2018-12-07,0
U99120,StephanieD9,(424) 974-5387,2018-05-31,883959
O419274,JanieG9,+1 (909) 599-5865,2018-03-07,119861
F160006,JohnN3@gmail.com,+1 (718) 871-4659,2018-03-04,0
N238834,LyndseyM4@gmail.com,(206) 987-0465,2018-10-24,59624
U271848,RobertL8@gmail.com,(721) 127-1170,2018-11-14,0
P146488,VilmaC0@gmail.com,(693) 933-7201,2018-07-19,0
Z263249,DeannaJ3@gmail.com,(135) 503-8097,2018-10-12,942270
N343684,JamesG2@gmail.com,(836) 059-4412,2018-01-31,598547
R76872,ScottM0@gmail.com,+1 (799) 879-5095,2018-10-31,993936
O485186,PhyllisN3@gmail.com,(139) 779-2853,2018-09-26,0
N230882,RhondaC2@gmail.com,(709) 708-3974,2018-03-13,865867
R379169,GeorgeP5@gmail.com,(901) 442-9277,2018-11-04,391767
F217883,JohnM9@gmail.com,(658) 187-7511,2018-03-05,527531
U45596,MichaelG2@gmail.com,(655) 858-0153,2018-09-18,931440
K209669,MaryannC9@gmail.com,(340) 744-9498,2018-08-20,37169
T62343,MargaritaK9@gmail.com,(866) 985-8669,2018-11-09,211692
V12298,WarrenB4,(243) 687-4601,2018-02-27,304608
R151130,SylviaS3@gmail.com,(113) 466-9913,2018-09-27,0
F183891,EllaW4@gmail.com,+1 (120) 062-2061,2018-11-04,841869
W490422,AlphonseS9@gmail.com,(360) 394-9384,2018-04-14,351722
F360364,ReginaB7@gmail.com,(777) 360-8196,2018-02-05,595956
Z464592,KennethT7,(588) 549-8070,2018-07-08,668802
V499409,GretaW4@gmail.com,(658) 095-1374,2018-02-01,240506
N324312,VictorR9@gmail.com,(543) 640-4325,2018-10-05,500216
S341224,JoseK2@gmail.com,(968) 969-2791,2018-06-29,272104
R331949,MargaretA0@gmail.com,(789) 599-4619,2018-02-07,505998
G286485,SaraS1@gmail.com,(417) 523-7761,2018-04-24,0
X119387,RobertL2@gmail.com,(437) 065-2664,2018-01-21,955698
V103702,BonnieR5@gmail.com,(390) 798-2557,2018-10-08,0
H147288,LindaK1@gmail.com,(739) 900-7959,2018-07-24,0
X204041,MargaretG9@gmail.com,(928) 765-9004,2018-06-04,338458
R19656,TanyaF8@gmail.com,+1 (692) 895-1146,2018-06-21,532611
K271034,JaredT3@gmail.com,(341) 176-1206,2018-10-29,0
R188040,SamuelM0@gmail.com,(568) 808-5510,2018-06-19,247448
G268438,DanielA4@gmail.com,(300) 388-9699,2018-11-24,0
C265586,AaronA8@gmail.com,(255) 967-5508,2018-11-01,823287
H445569,JohnA9@gmail.com,(874) 000-0545,2018-11-23,672083
O490495,DanielB9@gmail.com,(549) 042-0593,2018-03-13,54218
W215289,JenniferA7@gmail.com,(611) 190-9143,2018-12-06,0
A465926,BenS3@gmail.com,(182) 525-8409,2018-10-01,0
F211255,TonyB5@gmail.com,+1 +1 (547) 519-4529,2018-08-02,869165
P350324,JohnB5@gmail.com,(873) 579-2471,2018-09-08,268623
Q399725,LenaB7@gmail.com,(958) 525-6715,2018-11-29,49207
P375759,PaulT2@gmail.com,(393) 735-3744,2018-09-18,613557
V379174,ConsueloE6@gmail.com,(916) 953-4503,2018-11-13,828951
V256543,MicahL7@gmail.com,(767) 962-1430,2018-05-10,0
U6695,StaceyJ4@gmail.com,(180) 507-4929,2018-02-28,0
Z362785,HowardP8@gmail.com,(372) 898-4799,2018-07-17,544511
C194277,AliceD6@gmail.com,(983) 352-2545,2018-01-08,0
A436926,CherylL8@gmail.com,(665) 633-1547,2018-05-15,14778
B326343,StephanieR1@gmail.com,(504) 002-2725,2018-08-05,0
Y113833,LoisK4@gmail.com,(267) 122-4125,2018-07-29,457938
K344048,EdgarS7@gmail.com,(677) 852-1326,2018-06-27,307509
K174986,JamesT6@gmail.com,(288) 617-9234,2018-06-25,0
H291007,JaimeA8@gmail.com,(946) 040-0879,2018-10-30,612039
M156501,EdwardM3@gmail.com,(899) 232-8154,2018-10-24,0
G369235,BreannaE7@gmail.com,(502) 349-8209,2018-10-06,0
H461380,WilliamL7@gmail.com,(967) 542-2043,2018-05-27,899803
O449147,NadaS6@gmail.com,(327) 913-1210,2018-01-25,746918
D97793,KenM6@gmail.com,(630) 096-3621,2018-08-24,0
L115452,MarieG8@gmail.com,(705) 458-2553,2018-05-19,511802
H229024,ChristopherK9,(625) 711-7205,2018-12-02,975679
Z307823,WillardC8@gmail.com,(582) 651-7561,2018-04-17,0
N364763,RobertD8@gmail.com,(506) 750-5055,2018-02-17,979797
G262825,FredA3@gmail.com,(357) 570-1212,2018-09-23,541406
V93805,RonaldE1@gmail.com,(146) 409-0220,2018-12-06,0
S199922,AllenD5@gmail.com,(309) 476-1687,2018-06-06,0
Z6813,HenryS2@gmail.com,(719) 704-8211,2018-02-05,0
N332330,BarbaraG8@gmail.com,(650) 253-4803,2018-10-03,642152
K444458,BlairM3@gmail.com,(993) 743-4865,2018-05-06,618515
E316384,DebraD7@gmail.com,(525) 608-3109,2018-09-18,0
N267902,WilliamV5@gmail.com,(722) 242-1563,2018-01-02,0
R493951,EverettS0@gmail.com,(473) 874-3866,2018-10-11,458429
W192400,JohnC5@gmail.com,(517) 970-2293,2018-11-22,452981
G109180,AnaT1@gmail.com,(556) 073-2469,2018-02-12,350898
Y192096,RobertL4@gmail.com,(848) 020-4837,2018-08-14,0
M190314,JohnM4@gmail.com,(137) 510-8516,2018-05-14,574519
B437861,JasonR9@gmail.com,(707) 247-7614,2018-01-20,515586
A55792,ByronR0@gmail.com,(661) 710-1739,2018-09-14,835302
V452131,CarolM8@gmail.com,(184) 624-4126,2018-06-30,247288
C375072,NoraL2@gmail.com,(773) 683-2915,2018-04-13,0
B277428,DorothyE6@gmail.com,(340) 286-0238,2018-08-27,85269
B165336,PerryE7@gmail.com,(948) 051-7944,2018-12-28,0
B118390,GarryC0@gmail.com,(558) 362-0574,2018-07-20,0
X424799,DanielD6@gmail.com,(710) 809-7633,2018-07-15,164729
R266271,CharlesA4@gmail.com,(467) 699-5548,2018-08-13,796326
X234615,CarlE4@gmail.com,(300) 944-8074,2018-07-01,267063
U410242,LewisC4@gmail.com,(106) 953-5860,2018-07-11,0
A70733,AndrewK7@gmail.com,(935) 426-8970,2018-07-20,475987
L265645,RandyJ2@gmail.com,(324) 726-6801,2018-09-22,193878
J7095,GlennM9@gmail.com,(162) 774-7050,2018-02-18,382518
J334542,AnnaA2@gmail.com,+1 (782) 186-0438,2018-03-01,603542
I361792,JohnM9@gmail.com,(126) 274-0701,2018-01-04,32145
O249819,CristinaJ6@gmail.com,(651) 430-8333,2018-08-24,749298
B331536,WilliamK6@gmail.com,(219) 050-8352,2018-08-23,246555
F301682,EthelP3@gmail.com,+1 (389) 120-0592,2018-10-12,185872
P309860,AlexG2@gmail.com,(737) 659-8818,2018-01-02,208622
E11561,JustineD6@gmail.com,(449) 398-0387,2018-01-05,0
O408823,CharlesA1@gmail.com,(294) 285-6263,2018-05-06,0
U438173,TravisK2@gmail.com,(984) 743-5236,2018-05-09,0
F298270,KristenM4@gmail.com,+1 (616) 979-9209,2018-01-28,687733
M100811,JenniferD5@gmail.com,(258) 352-5192,2018-10-29,0
H430874,VickieJ3@gmail.com,(968) 464-5516,2018-09-05,0
X4499,BrookeR4@gmail.com,(280) 976-6111,2018-07-10,0
Q85309,WardD2@gmail.com,(690) 538-4254,2018-08-01,0
C101086,BillyM9@gmail.com,(774) 147-6158,2018-04-25,860451
I373366,WilfredoA5,(744) 681-1191,2018-04-07,668540
T83716,BeatriceA6@gmail.com,(608) 239-5370,2018-04-13,0
R221906,JohnM6@gmail.com,(920) 782-2795,2018-04-04,55056
Z366086,MelissaC7,(697) 316-5228,2018-02-21,935482
O296057,JosefaK8@gmail.com,(724) 637-6547,2018-04-25,987524
Y186217,JosephR3@gmail.com,(937) 830-9574,2018-10-06,239114
H79945,AntonioS2@gmail.com,(381) 966-6971,2018-12-05,737526
G186916,WillieW3@gmail.com,(446) 991-5040,2018-03-20,0
I202951,JackD1@gmail.com,(720) 946-9744,2018-10-16,905658
W177408,StephanieA9@gmail.com,(227) 071-7926,2018-01-07,0
M18683,CaryW3@gmail.com,(683) 133-5234,2018-11-28,564569
N467121,JohnR3@gmail.com,(909) 767-8916,2018-06-14,676386
P453851,ChristopherT5@gmail.com,(562) 492-6488,2018-09-25,0
Z204227,DanielleC2@gmail.com,(466) 591-6685,2018-09-14,522578
C114244,CarolynD1@gmail.com,+1 (999) 539-1261,2018-05-12,780548
B210320,EdithC0@gmail.com,(194) 038-4874,2018-02-25,538902
V137817,DonnaJ5@gmail.com,(176) 943-5046,2018-01-25,0
O457591,AuroraL9@gmail.com,+1 (524) 942-3084,2018-11-12,446611
S438287,AprilA4@gmail.com,+1 (811) 839-9297,2018-04-13,0
E62600,LeeJ8,(260) 257-6347,2018-11-02,327654
N286607,MargueriteM3@gmail.com,+1 (164) 318-2556,2018-05-09,0
M114390,TimothyJ4@gmail.com,(971) 155-8415,2018-04-06,341902
E74741,KennethM2@gmail.com,(150) 924-8545,2018-11-06,737695
R162679,EdwardM3@gmail.com,(904) 368-3955,2018-04-29,232569
G237738,MaryK6@gmail.com,(996) 735-8886,2018-07-26,0
U470418,RuthE5@gmail.com,(416) 152-6976,2018-03-31,261504
B291871,MichaelE1@gmail.com,(934) 867-0842,2018-04-06,671596
D262714,MarieM0@gmail.com,(494) 581-1362,2018-03-21,127362
I350821,FlorenciaR5@gmail.com,(191) 000-9814,2018-11-11,998858
N192791,DianaP1@gmail.com,(265) 979-3606,2018-11-22,977853
O118506,JaimeC7@gmail.com,(966) 505-3176,2018-07-23,0
J156065,MariaR3@gmail.com,(151) 267-5745,2018-09-14,0
I11445,ShawnW9@gmail.com,+1 (857) 376-3900,2018-09-30,208181
U489837,KristinC4@gmail.com,(904) 746-7239,2018-03-21,586996
S20885,MonicaD7@gmail.com,(489) 912-4196,2018-12-23,0
Y383125,JuliaE5@gmail.com,(239) 844-0626,2018-11-02,0
E303594,PatriciaJ2@gmail.com,(258) 206-3449,2018-02-13,889911
V446704,MauriceM8@gmail.com,(973) 853-1860,2018-12-23,336963
X432822,AmyC0@gmail.com,(285) 778-1365,2018-09-21,493230
L117100,TimothyB5@gmail.com,(480) 516-2239,2018-03-17,499781
Y405508,EarlG4@gmail.com,(461) 502-8982,2018-05-09,0
Z83319,JuanM6@gmail.com,(349) 022-5452,2018-12-27,74611
N490664,TimJ0@gmail.com,(634) 820-7904,2018-03-31,34255
R214865,CarminaS8@gmail.com,(380) 377-5719,2018-01-25,537970
L270169,AlanT3@gmail.com,(840) 922-5487,2018-03-05,337062
U337381,NanetteK7@gmail.com,(567) 236-7670,2018-09-26,0
J293353,MichaelG1@gmail.com,(844) 378-9555,2018-11-15,999999999999
O225526,RobertH8@gmail.com,(879) 165-7321,2018-08-21,0
N271400,KristinR9@gmail.com,(800) 015-5431,2018-12-27,0
K205584,CraigW5@gmail.com,(834) 103-8099,2018-06-27,671766
J114837,SarahT6,(187) 256-4248,2018-05-30,578027
K210024,MartinC7@gmail.com,(108) 010-3190,2018-06-05,999999999999
M482784,LilaV3@gmail.com,(905) 842-8252,2018-05-14,0
K314841,BarbaraJ3@gmail.com,(951) 847-1577,2018-02-05,748446
M36339,FrankT6@gmail.com,(281) 158-5436,2018-06-08,0
I22106,KrystalB9@gmail.com,(800) 769-5241,2018-03-19,374391
A41601,LitaL8,(454) 377-0213,2018-07-25,680996
J140792,VictorT7@gmail.com,(816) 529-3724,2018-06-30,0
P277046,LeslieS5@gmail.com,(129) 714-8323,2018-12-14,0
K183673,StephanieK4@gmail.com,(578) 972-9831,2018-09-28,781848
S483272,RebeccaJ0@gmail.com,(828) 122-9873,2018-11-21,249499
E497707,LillianB6@gmail.com,(900) 657-3237,2018-10-17,348602
Z221183,CathyA6@gmail.com,(632) 232-6146,2018-11-03,776263
S425757,LoriW1@gmail.com,(437) 574-6260,2018-09-24,0
M332696,CorneliusL7@gmail.com,(904) 874-6251,2018-04-06,929822
K349716,JamesR6@gmail.com,(263) 395-8784,2018-07-14,0
B486040,LillieD9@gmail.com,(116) 352-0292,2018-07-28,0
Y335452,MarjorieN0@gmail.com,(489) 797-7278,2018-07-21,615052
V224244,ElizabethW1@gmail.com,(300) 625-8603,2018-11-07,0
X428805,AnitaM1@gmail.com,(944) 506-3435,2018-07-03,49087
N77926,ChadM7@gmail.com,(703) 533-3557,2018-03-22,0
N320803,MichaelA8@gmail.com,(268) 806-2362,2018-11-22,0
F241898,VickiL7@gmail.com,(707) 920-6275,2018-11-25,818917
J323216,MikeD8@gmail.com,(361) 606-4491,2018-08-06,831924
W479072,CarolynL9@gmail.com,(270) 362-1321,2018-06-28,218370
W485024,RobertG5@gmail.com,(483) 617-4832,2018-04-20,0
E372194,MarkD5@gmail.com,(755) 294-2386,2018-11-19,561677
X290991,MichaelT1@gmail.com,(163) 279-3035,2018-01-08,106871
V114644,ChristopherP1@gmail.com,+1 (883) 557-6340,2018-11-05,939796
S385941,ElaineV0@gmail.com,(643) 895-1702,2018-02-28,0
P428200,ChristopherJ3,(649) 819-6864,2018-07-21,374261
O98927,LourdesJ5@gmail.com,(114) 590-4125,2018-12-17,956654
Q248916,JohnD5@gmail.com,(803) 704-0459,2018-11-15,491669
T422857,ShirleyL9,(328) 513-7842,2018-03-02,399545
T69688,TracyW0@gmail.com,(941) 268-5307,2018-04-22,0
H494641,MyrtleI6@gmail.com,(937) 911-2081,2018-05-13,491697
U194207,JoanJ5@gmail.com,(489) 082-8005,2018-05-23,0
R300847,VirginiaM4,+1 (663) 513-7463,2018-12-27,505549
I34601,YvonneK7,(440) 696-0721,2018-08-29,727481
Y56352,StaceyM0@gmail.com,(635) 219-8606,2018-02-03,0
Y303610,TaraT4@gmail.com,(907) 374-7026,2018-06-30,652755
J467946,RobertP7@gmail.com,(671) 257-7921,2018-03-22,953535
R249936,KennethJ3@gmail.com,(545) 162-0852,2018-01-15,0
M292911,JohnJ8@gmail.com,(507) 721-0358,2018-05-04,287513
O5473,DebraM6@gmail.com,+1 (953) 385-6697,2018-10-16,820669
B374284,DonnaJ0@gmail.com,(406) 048-6000,2018-12-02,0
D419951,JamesV1@gmail.com,(982) 152-5949,2018-11-23,605511
D129161,ChristopherT9@gmail.com,(100) 405-4811,2018-01-04,341471
L111197,VanessaR8@gmail.com,(120) 174-9752,2018-02-10,0
T163418,RoyK0@gmail.com,(970) 852-6996,2018-08-09,690666
S145846,HenryH3@gmail.com,(227) 113-5457,2018-08-13,0
E495833,AllenA1@gmail.com,(835) 498-4592,2018-10-22,380311
E435435,MasonM9@gmail.com,(110) 976-2172,2018-04-24,417949
R452393,DavidA4@gmail.com,(263) 458-2205,2018-02-09,0
O5515,KathleenT8@gmail.com,+1 (364) 247-1699,2018-07-16,186182
L135278,EltonT4@gmail.com,(369) 835-6037,2018-09-22,565044
I244438,CathyR5@gmail.com,+1 (635) 262-5572,2018-09-22,177581
U116863,MarcosZ0@gmail.com,(234) 139-1929,2018-12-27,96712
K223536,BrendaT0@gmail.com,(213) 287-2788,2018-09-22,0
L247252,BernettaD9@gmail.com,(963) 162-5374,2018-03-07,532048
E212669,JohnL4@gmail.com,(875) 282-2945,2018-02-11,915448
A387221,MaryL6@gmail.com,(473) 794-3381,2018-06-07,187757
R263015,CliffordR1@gmail.com,(412) 978-8262,2018-12-22,929310
M379051,JosephJ6@gmail.com,(598) 522-3103,2018-06-19,0
W348380,LeonaD2@gmail.com,(146) 019-5493,2018-04-07,0
Q102074,GladysK9@gmail.com,(740) 874-4222,2018-02-13,28689
W154276,DonnaD8@gmail.com,(377) 113-3681,2018-09-15,0
L368995,FrancesW0@gmail.com,(782) 589-1439,2018-11-24,0
Q55290,KeithR7@gmail.com,(194) 778-5017,2018-06-05,0
O343195,KennethJ4@gmail.com,(665) 488-8897,2018-08-04,386690
H101821,RuthD0@gmail.com,(533) 935-0067,2018-07-09,239432
